Epoch: [1][980/1345], lr: 0.00100	Time 1.461 (1.509)	Data 0.000 (0.016)	Loss 4.1663 (3.8822)	Prec@1 18.750 (16.074)	Prec@5 34.375 (37.834)
Epoch: [1][1000/1345], lr: 0.00100	Time 1.403 (1.508)	Data 0.000 (0.016)	Loss 3.6501 (3.8792)	Prec@1 23.438 (16.140)	Prec@5 46.875 (37.926)
Epoch: [1][1020/1345], lr: 0.00100	Time 1.487 (1.507)	Data 0.000 (0.016)	Loss 3.4089 (3.8769)	Prec@1 26.562 (16.177)	Prec@5 46.875 (37.976)
Epoch: [1][1040/1345], lr: 0.00100	Time 1.407 (1.506)	Data 0.000 (0.015)	Loss 3.9087 (3.8750)	Prec@1 15.625 (16.206)	Prec@5 45.312 (38.045)
Epoch: [1][1060/1345], lr: 0.00100	Time 1.456 (1.506)	Data 0.000 (0.015)	Loss 3.4800 (3.8707)	Prec@1 21.875 (16.282)	Prec@5 42.188 (38.144)
Epoch: [1][1080/1345], lr: 0.00100	Time 1.406 (1.505)	Data 0.000 (0.015)	Loss 3.2783 (3.8688)	Prec@1 21.875 (16.316)	Prec@5 56.250 (38.175)
Epoch: [1][1100/1345], lr: 0.00100	Time 1.548 (1.504)	Data 0.000 (0.015)	Loss 4.0131 (3.8682)	Prec@1 14.062 (16.336)	Prec@5 31.250 (38.184)
Epoch: [1][1120/1345], lr: 0.00100	Time 1.412 (1.503)	Data 0.000 (0.014)	Loss 4.4172 (3.8687)	Prec@1 9.375 (16.351)	Prec@5 25.000 (38.198)
Epoch: [1][1140/1345], lr: 0.00100	Time 1.506 (1.502)	Data 0.000 (0.014)	Loss 3.4713 (3.8671)	Prec@1 17.188 (16.374)	Prec@5 50.000 (38.241)
Epoch: [1][1160/1345], lr: 0.00100	Time 1.424 (1.501)	Data 0.000 (0.014)	Loss 3.7862 (3.8641)	Prec@1 20.312 (16.381)	Prec@5 42.188 (38.324)
Epoch: [1][1180/1345], lr: 0.00100	Time 1.425 (1.500)	Data 0.000 (0.014)	Loss 3.2918 (3.8609)	Prec@1 29.688 (16.447)	Prec@5 46.875 (38.381)
Epoch: [1][1200/1345], lr: 0.00100	Time 1.423 (1.500)	Data 0.000 (0.013)	Loss 4.2072 (3.8584)	Prec@1 3.125 (16.489)	Prec@5 29.688 (38.429)
Epoch: [1][1220/1345], lr: 0.00100	Time 1.404 (1.499)	Data 0.000 (0.013)	Loss 4.2132 (3.8563)	Prec@1 14.062 (16.534)	Prec@5 35.938 (38.473)
Epoch: [1][1240/1345], lr: 0.00100	Time 1.418 (1.498)	Data 0.000 (0.013)	Loss 3.6467 (3.8541)	Prec@1 14.062 (16.577)	Prec@5 48.438 (38.536)
Epoch: [1][1260/1345], lr: 0.00100	Time 1.402 (1.498)	Data 0.000 (0.013)	Loss 3.3052 (3.8518)	Prec@1 25.000 (16.629)	Prec@5 48.438 (38.597)
Epoch: [1][1280/1345], lr: 0.00100	Time 1.536 (1.497)	Data 0.000 (0.013)	Loss 3.9290 (3.8498)	Prec@1 18.750 (16.656)	Prec@5 40.625 (38.642)
Epoch: [1][1300/1345], lr: 0.00100	Time 1.443 (1.496)	Data 0.000 (0.012)	Loss 3.7241 (3.8473)	Prec@1 15.625 (16.725)	Prec@5 46.875 (38.724)
Epoch: [1][1320/1345], lr: 0.00100	Time 1.504 (1.496)	Data 0.000 (0.012)	Loss 3.6666 (3.8436)	Prec@1 21.875 (16.808)	Prec@5 43.750 (38.808)
Epoch: [1][1340/1345], lr: 0.00100	Time 1.430 (1.495)	Data 0.000 (0.012)	Loss 3.6339 (3.8414)	Prec@1 20.312 (16.845)	Prec@5 43.750 (38.839)
Epoch: [2][0/1345], lr: 0.00100	Time 14.460 (14.460)	Data 12.838 (12.838)	Loss 3.6374 (3.6374)	Prec@1 23.438 (23.438)	Prec@5 46.875 (46.875)
Epoch: [2][20/1345], lr: 0.00100	Time 1.437 (2.085)	Data 0.000 (0.612)	Loss 3.7874 (3.6446)	Prec@1 25.000 (19.196)	Prec@5 37.500 (42.039)
Epoch: [2][40/1345], lr: 0.00100	Time 1.410 (1.782)	Data 0.000 (0.313)	Loss 3.4235 (3.6142)	Prec@1 25.000 (20.274)	Prec@5 56.250 (44.398)
